wall_time_s,iso_time,r_ch1_ohm,r_ch2_ohm,r_ch3_ohm,r_ch4_ohm
0.444922,2026-02-24T09:29:36.501,15025.740200000,15268.522500000,15650.921900000,15623.409200000
3.222861,2026-02-24T09:29:39.281,15025.639600000,15268.625000000,15650.994100000,15623.346700000
6.005659,2026-02-24T09:29:42.061,15025.689500000,15268.564500000,15650.990200000,15623.431600000
8.787313,2026-02-24T09:29:44.844,15025.660200000,15270.013700000,15650.691400000,15623.329100000
11.569246,2026-02-24T09:29:47.630,15025.786100000,15268.554700000,15650.996100000,15623.455100000
14.351906,2026-02-24T09:29:50.412,15025.656200000,15268.539100000,15651.046900000,15623.445300000
17.134740,2026-02-24T09:29:53.194,15025.754900000,15268.495100000,15651.014600000,15623.162100000
19.917163,2026-02-24T09:29:55.974,15025.779300000,15268.500000000,15650.757800000,15623.149400000
22.697578,2026-02-24T09:29:58.749,15025.688500000,15268.483400000,15650.779300000,15623.120100000
